rank,name,comments,author,publisher
1,活着（2017年新版）,1641453,余华,作家出版社
2,我喜欢生命本来的样子(周国平经典散文作品集),354597,周国平,作家出版社
3,神奇校车・图画书版（全12册，新增《科学博览会》1册）,877076,"(美)乔安娜柯尔 著 ,(美)布鲁斯・迪根 图",贵州人民出版社
4,人间失格（日本小说家太宰治的自传体小说）,766555,（日）太宰治　著，杨伟　译,作家出版社
5,月亮和六便士（全新导读无删节详注版！ 半年创当当110000名读者五...,191876,〔英〕毛姆 著  苏福忠 译,时代文艺出版社
6,《正面管教》修订版,552428,[美] 简・尼尔森,北京联合出版公司
7,如何说孩子才会听 怎么听孩子才肯说（全新修订版）,475629,（美）玛兹丽施　著，安燕玲　译,中央编译出版社
8,浮生六记 （汪涵推荐，畅销200万册。沈复给芸娘的绝美情书）【果...,697289,沈复 著 ， 张佳玮 译，果麦文化 出品,天津人民出版社
9,生活需要仪式感 （把温暖和感动带给你在乎的人）,222596,李思圆 著，文通天下 出品,山东文艺出版社
10,追风筝的人（2018年新版）,2138793,[美]卡勒德・胡赛尼（Khaled Hosseini） 著，李继宏 译,上海人民出版社
11,小熊和最好的爸爸（全7册）,661247,（荷）丹姆  著，漆仰平，爱桐  译,贵州人民出版社
12,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,512141,刘慈欣,重庆出版社
13,少年读史记（套装全5册）,388636,张嘉骅,青岛出版社
14,月亮与六便士（新版！未删节插图珍藏版，荣获波比小说奖诗人译本...,331186,毛姆 著，徐淳刚 译，大星文化 出品，作家榜经典文库，高更 绘,浙江文艺出版社
15,我这么自律，就是为了不平庸至死（500册亲笔签名本随机发）,22500,怀左同学,北京联合出版有限公司
16,乌合之众 : 大众心理研究,51909,(法) 古斯塔夫・勒庞 著，马晓佳 译,民主与建设出版社
17,我的第一本地理启蒙书,444955,郑利强 段虹(绘) 步印童书 出品,新世界出版社
18,谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,25761,(英) 盖温・肯尼迪 (Gavin Kennedy),民主与建设出版社
19,丰子恺万般滋味，都是生活,13712,丰子恺,华中科技大学出版社
20,云边有个小卖部,154778,"张嘉佳 著,博集天卷 出品",湖南文艺出版社
21,神奇校车・桥梁书版（全20册）,527770,乔安娜柯尔　著 布鲁斯迪根 图　施芳　译,贵州人民出版社
22,所谓情商高，就是会说话,519738,佐佐木圭一 著 程亮 译 时代华语 出品,北京联合出版公司
23,薛兆丰经济学讲义,10889,薛兆丰,中信出版社
24,东野圭吾：解忧杂货店（王俊凯、迪丽热巴主演，这家店帮你找回内...,1958309,(日)东野圭吾 著，新经典 出品,南海出版公司
25,写给儿童的中国历史（全14册）,492668,陈卫平著 步印童书 出品,新世界出版社
26,格雷巴旅馆（作者被判终身监禁，此刻故事正在发生……引发全球关...,4393,柯蒂斯・道金斯，白马时光 出品,百花洲文艺出版社
27,超值畅销-好妈妈不打不骂培养男孩300个细节,69713,张晓萍　编著,南海出版公司
28,霍乱时期的爱情（2015版）  一本好书 腾讯视频栏目推荐,337808,（哥伦）马尔克斯　 著，杨玲 译，新经典 出品,南海出版公司
29,小王子（畅销300万册，作者基金会官方认证简体中文版）【果麦经典...,861712,(法)安托万・德・圣埃克苏佩里 著，李继宏 译，果麦文化 出品,天津人民出版社
30,好好说话2：简单有效的高情商沟通术,9353,马薇薇、黄执中、周玄毅、邱晨、胡渐彪 著，磨铁图书 出品,北京联合出版有限公司
31,万历十五年 一本好书 腾讯视频栏目推荐,352193,黄仁宇,生活.读书.新知三联书店
32,东野圭吾：白夜行（2017版，易烊千玺、韩雪推荐，东野圭吾无冕之...,1124806,[日]东野圭吾 著，新经典 出品,南海出版公司
33,马尔克斯：百年孤独（50周年纪念版）,1151421,加西亚・马尔克斯 著，新经典 出品,南海出版公司
34,见识城邦・人类简史：从动物到上帝（新版）  一本好书 腾讯视频栏...,204345,[以色列] 尤瓦尔・赫拉利（Yuval Noah Harari）,中信出版社
35,围城,605911,钱钟书　著,人民文学出版社
36,自在独行     贾平凹的独行世界,567262,贾平凹 著 时代华语 出品,长江文艺出版社
37,摆渡人（如果命运是一条孤独的河流，谁会是你灵魂的摆渡人？）,1040493,[英]克莱儿・麦克福尔，白马时光 出品,百花洲文艺出版社
38,断舍离,341556,(日)山下英子,广西科学技术出版社
39,这就是二十四节气（中国二十四节气彩绘版，文津图书奖获奖绘本，...,500711,高春香，邵敏 著，许明振，李婧 绘,海豚出版社
40,许三观卖血记（新版）,124715,余华,作家出版社
41,你坏（大冰2018作品！预售10分钟8.6万册+，30分钟突破11.8万册，...,381488,"大冰 著,博集天卷 出品",湖南文艺出版社
42,魔法拼音国（套装 共7册）,151212,姜自霞,浙江少年儿童出版社
43,好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品...,148176,老杨的猫头鹰,现代出版社
44,非暴力沟通,182484,【美】卢森堡  著，  阮胤华  译,华夏出版社
45,我不敢说，我怕被骂,64613,文：〔荷兰〕皮姆?范?赫斯特  图：〔荷兰〕妮可?塔斯马,北京联合出版公司
46,银火箭少年科幻系列（亚洲首位“雨果奖”得主刘慈欣主编，全球销...,21890,刘慈欣、[英]赫伯特・乔治・威尔斯、[英]玛丽・雪莱等 著，张荣梅 策划，小当当童书馆 出品,浙江教育出版社
47,皮囊（畅销250万册的国民读本，韩寒监制，刘德华、李敬泽作序。繁...,536682,蔡崇达 著，果麦文化 出品,天津人民出版社
48,人性的弱点（薛之谦推荐，畅销100万册）【果麦经典】,357352,戴尔・卡耐基 著，陶 译，果麦文化 出品,天津人民出版社
49,人间词话（近代极富盛名的词话著作，集编、校、释、评于一体，赏...,319176,王国维　著,北京联合出版公司
50,国际大奖科普绘本（全6册） 获20余项国际大奖，数十种国际权威机...,3374,"【法】玛丽【美】琳达・格拉泽、玛丽安・伯克斯 等著,【法】阿梅莉・格罗【美】杰米・佐拉斯 等绘,鞠强、李睿、王丁鹏、韩冬 译,张荣梅 策划,小当当童书馆 出品",辽宁少年儿童出版社
51,东野圭吾：恶意（2016版，东野圭吾四大杰作之一）,369650,东野圭吾 著，娄美莲 译，新经典 出品,南海出版公司
52,西游记原著版（上、下册）七年级上册必读（1-9年级必读书单）,111332,吴承恩,人民文学出版社
53,天才在左 疯子在右(2018全新完整版),1000461,高铭 著，磨铁图书 出品,北京联合出版有限公司
54,雪落香杉树 (福克纳奖得主，全球畅销500万册),248248,戴维・伽特森,作家出版社
55,我们仨（新版）,1062180,杨绛,生活.读书.新知三联书店
56,懂你（复旦名师陈果作品！）,26079,陈果,山东画报出版社
57,诗经（韩寒推荐，全三册注音插图版）,44647,骆玉明(解注)，果麦文化 出品,三秦出版社
58,米小圈脑筋急转弯（套装共4册）,124412,北猫,四川少儿出版社
59,一只特立独行的猪,184717,王小波 著，新经典 出品,北京十月文艺出版社
60,岛上书店（每个人的生命中，都有无比艰难的那一年，将人生变得美...,1010390,（美）加・泽文 Gabrielle Zevin 著；孙仲旭、李玉瑶 译；读客文化 出品,江苏文艺出版社
61,你的善良必须有点锋芒,297314,慕颜歌  著，文通天下  出品,古吴轩出版社
62,阿迅（著名央视主持人朱迅的伤痛之作，令无数读者泪流满面）,4262,朱迅,长江文艺出版社
63,一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德...,42237,〔奥〕斯蒂芬・茨威格 著  高中甫 韩耀成 译,时代文艺出版社
64,活着（精装版，余华代表作，易烊千玺推荐阅读版本）,142435,余华 著，新经典 出品,北京十月文艺出版社
65,罗生门（芥川龙之介小说集）《人间失格》作者太宰治是芥川的头号...,57752,［日］芥川龙之介 著，高慧勤 译,时代文艺出版社
66,平凡的世界：全三册（八年级下册自主阅读推荐）,843218,路遥 著，新经典 出品,北京十月文艺出版社
67,笑场（2017精装版）,48825,李诞 著，博集天卷 出品,湖南文艺出版社
68,米小圈漫画成语（套装共4册）,109735,北猫,四川少儿出版社
69,华杉讲透《孙子兵法》（独家精装珍藏版）,56778,华杉 著；读客文化 出品,江苏文艺出版社
70,养育男孩（典藏版）,121857,（澳）史蒂夫 比达尔夫　著，丰俊功，宋修华　译,中信出版社
71,百年童话绘本・典藏版（全套30册）当当2018年中童书畅销榜，台湾...,89047,(美）莱曼・弗兰克・鲍姆，（德）格林兄弟，（丹）安徒生等著，张荣梅 策划，小当当童书馆 出品,北京联合出版公司
72,在教室说错了没关系,148919,著 （日）莳田晋至，译 吴佳芬，绘 （日）长谷川知子,青岛出版社
73,风声（2018版）,11329,麦家 著，新经典 出品,北京十月文艺出版社
74,半小时漫画中国史1+中国史2+中国史3+世界史（套装共4册，作者签章...,771801,陈磊（笔名：二混子） 著；读客文化 出品,江苏文艺出版社
75,蔡康永的说话之道套装（全二册）,262141,蔡康永 著，博集天卷 出品,湖南文艺出版社
76,苏东坡传（林语堂精装2018版）（1-9年级必读书单）,267778,"林语堂 著,博集天卷 出品",湖南文艺出版社
77,不一样的卡梅拉手绘本（1-12册）,515043,"（法）克利斯提昂 约里波瓦著郑迪蔚译 ,（法）克利斯提昂 艾利施绘",２１世纪出版社
78,阿米巴经营――畅销十周年纪念版，当当全国独家（团购，请致电01...,160129,[日]稻盛和夫 著，曹岫云 译,中国大百科全书出版社
79,无人生还（精装纪念版）,36216,（英）阿加莎?克里斯蒂著，夏阳译,新星出版社
80,沉默的大多数（手稿珍藏版）,45476,王小波 著，新经典 出品,北京十月文艺出版社
81,父与子全集(郑渊洁唯一推荐版本，亲子同读必备经典)【作家榜出品...,56553,卜劳恩 绘，大星文化 出品，作家榜经典文库,浙江文艺出版社
82,米小圈上学记一年级（套装共4册）,74733,北猫,四川少儿出版社
83,亲密关系：通往灵魂的桥梁（2015全新修订版）,132428,克里斯多福・孟 著，张德芬，余慧玲 译，博集天卷 出品,湖南文艺出版社
84,一九八四（又译作“1984”）,32018,"[英]乔治・奥威尔 著,傅霞 译",时代文艺出版社
85,复旦名师陈果：好的孤独（复旦名师陈果博士，用哲学的方式告诉你...,102996,陈果 著；读客文化 出品,江苏凤凰文艺出版社
86,诺奖少年版（全套30册）2018年中童书畅销榜TOP3！日销售ZUI高达5...,225372,海明威 罗曼・罗兰 塞尔玛・拉格洛夫 等，张荣梅 策划，小当当童书馆 出品,辽宁少年儿童出版社
87,目送：龙应台“人生三书”之三（彩插新版）,464508,龙应台 著，理想国 出品,广西师范大学出版社
88,格局,75881,"何权峰 著,  悦读纪 出品",江苏文艺出版社
89,小鸡球球触感玩具书：全5册,81328,[日]入山智 著绘；崔维燕 译；海豚传媒，心喜阅童书 出品,长江少年儿童出版社
90,东野圭吾：嫌疑人X的献身（王凯、张鲁一推荐，至为纯粹的爱情，绝...,598612,东野圭吾 著，刘子倩 译，新经典 出品,南海出版公司
91,学会爱自己（教孩子免受性侵犯！学会保护自己！）（全3辑，共14册...,187535,珊蒂克雷文，茱蒂柏斯玛，佩特拉敏特尔（德），安德烈乌斯塔科夫（德）等,青岛出版社
92,无人生还：阿加莎 克里斯蒂作品集10（销售记录超过一亿册的侦探小...,131058,(英)阿加莎.克里斯蒂,新星出版社
93,解密（被翻译成33个语种的当代经典，一部关于天才陨落的悬念佳作...,35699,麦家 著，新经典 出品,北京十月文艺出版社
94,红楼梦原著版（上、下册）（全两册）（1-9年级必读书单）,236788,曹雪芹,人民文学出版社
95,挪威的森林（2018年新版，村上春树的残酷青春物语，现象级的超级...,145680,【日】村上春树 林少华 译,上海译文出版社
96,阿凡提经典故事系列丛书（全4册）,148339,艾克拜尔?吾拉木、赵世杰编著,新疆青少年出版社
97,鬼谷子―中华经典藏书,46842,（战国）鬼谷子 著 ; 陈默 译注,吉林美术出版社
98,第七天（2018版）,284479,余华,新星出版社
99,外婆的道歉信（马思纯领读书目，人民日报、央视推荐。年度口碑爆...,241347,[瑞典]弗雷德里克・巴克曼，译者 孟汇一，果麦文化 出品,天津人民出版社
100,汪曾祺散文集：人间知味,11777,汪曾祺,时代文艺出版社
101,窗边的小豆豆(2018版),790884,（日）黑柳彻子,南海出版公司
102,哈利・波特 （全集1-7册）全新版套装中文版,149013,英 J.K.罗琳　著，苏农　等译,人民文学出版社
103,夏洛的网（新）,486403,（美）怀特　著，任溶溶　译,上海译文出版社
104,米小圈上学记二年级（套装共4册）,53049,北猫,四川少儿出版社
105,三毛全集02：撒哈拉的故事（1-9年级必读书单）,167464,三毛 著，新经典 出品,北京十月文艺出版社
106,我喜欢自己,59157,（美）卡尔森　著，余治莹　译,河北教育出版社
107,暗算（第七届茅盾文学奖得主，入选“企鹅经典”文库）,21037,麦家 著，新经典 出品,北京十月文艺出版社
108,放学后（东野圭吾成名作）,86103,〔日〕东野圭吾 著，新经典 出品,南海出版公司
109,曹文轩文集典藏版（全7册）,230234,曹文轩   著,天天出版社有限责任公司
110,金字塔原理（麦肯锡40年经典培训教材）,225589,(美)芭芭拉.明托,南海出版公司
111,人性的弱点,84197,（美）卡耐基　著，林杰　译,北京联合出版公司
112,摆渡人2：重返荒原（每一个镌刻着爱与善意的灵魂，都会成为我们生...,294127,克莱儿・麦克福尔，白马时光 出品,百花洲文艺出版社
113,P.E.T.父母效能训练:让亲子沟通如此高效而简单（PET）,81511,（美）戈登　著，琼林　译,中国发展出版社
114,不可思议的旅程（凯迪克大奖绘本三部曲）,153474,[美] 艾伦・贝克尔 著,新星出版社
115,董卿：做一个有才情的女子,37993,乔瑞玲 著，轻阅时光 出品,百花洲文艺出版社
116,牧羊少年奇幻之旅（央视《朗读者》、湖南卫视《天天向上》、黄轩...,367158,（巴西）保罗・柯艾略 著，新经典 出品,北京十月文艺出版社
117,曹文轩纯美小说系列*草房子,215138,曹文轩,江苏凤凰少年儿童出版社
118,原则 principles 雷・达里奥著 跨年演讲推荐图书 团购电话:010-5...,114621,[美]瑞・达利欧（Ray Dalio）,中信出版社
119,纳兰词 水墨山水彩图 附纳兰性德传记,7182,刘增妍,四川人民出版社
120,故宫日历2019年,60475,故宫出版社,故宫出版社
121,独一无二的你+勇敢做自己,138133,（美）克兰兹　著，薛亚男　译,北京科学技术出版社
122,高效能人士的七个习惯（30周年纪念版）：打造一套全新的思维方式...,194861,（美）史蒂芬・柯维,中国青年出版社
123,卓有成效的管理者（珍藏版）（团购，请致电010-57993380）,193226,（美）德鲁克（Drucker，P.F.） 著，许是祥  译,机械工业出版社
124,张爱玲全集02：红玫瑰与白玫瑰（2012年全新修订版）,143801,张爱玲 著，新经典 出品,北京十月文艺出版社
125,大败局1、2（修订版）套装【当当网独家特供】（财经作家吴晓波经...,74963,吴晓波　著,浙江大学出版社
126,上帝掷骰子吗？量子物理史话（科学性和故事性的完美结合，具有超...,134234,曹天元　著，磨铁图书 出品,北京联合出版公司
127,去旅行系列（全2册）法国教育部推荐！深度知识体系的人文地理百科...,71157,法] 阿梅莉・卡斯唐（法）纳塔莉・佩泰斯 著,广西科学技术出版社
128,了不起的盖茨比（我抹掉过去，只为了让爱重来！2018全新译本，诗...,26379,(美) F.S.菲兹杰拉德著，张炽恒译,时代文艺出版社
129,未来简史       一本好书 腾讯视频栏目推荐,149808,［以色列］尤瓦尔・赫拉利,中信出版社
130,墨菲定律,58488,张文成   著，文通天下  出品,古吴轩出版社
131,斯凯瑞金色童书・第一辑（全4册）,371021,（美）斯凯瑞  著，李晓评  译,贵州人民出版社
132,看见,703589,柴静 著，理想国 出品,广西师范大学出版社
133,上下五千年（最新版）,206574,林汉达　等著,少年儿童出版社
134,天长地久：给美君的信（龙应台2018全新力作）,29887,"龙应台 著,博集天卷 出品",湖南文艺出版社
135,可爱的身体 （全8册）,179983,[日]七尾纯 小林雅子 文 [日]今井弓子 等 图,南海出版公司
136,九型人格 : 职场高品质沟通的艺术,76715,（美）海伦・帕尔默　著,北京联合出版公司
137,游戏力畅销版套装（全3册）[精选套装],155718,（美）科恩 著；李岩 伍娜 高晓静 译,中信出版社
138,培生幼儿英语：预备级（升级版）,244096,培生集团，海豚传媒 出品,湖北少儿出版社
139,写给儿童的中国地理（全14册）,174140,陈卫平、陈雨岚等 步印童书 出品,新世界出版社
140,养育女孩,76148,Steve Biddulph,中信出版社
141,父与子全集（全彩版）,49902,[德] 埃・奥・卜劳恩  绘,浙江工商大学出版社
142,人生（影响千万青年的励志名篇-- 马云、贾樟柯倾情推荐！）,230732,路遥  著，新经典 出品,北京十月文艺出版社
143,0-3岁行为习惯教养绘本（全6册）,45502,让娜・阿什比/著；海豚传媒，心喜阅童书 出品,长江少年儿童出版社
144,小读客・这是什么呀・3~6岁美国经典绘本大百科（给孩子的万物启蒙...,11538,[美]盖尔・吉本斯 (Gail Gibbons) 著；付晓波、张亦琦译；读客文化 出品,文汇出版社
145,神奇校车・动画版（全10册）,319444,"作者:乔安娜柯尔 著,布鲁斯迪根 绘 , 漆仰平 译",贵州人民出版社
146,人间失格（太宰治绝望的告白，独家收录太宰治绝笔之作《Goodbye》...,169986,（日）太宰治  著，烨伊　译   凤凰含章出品,武汉出版社
147,无声告白（就是她！征服欧美文坛的华裔作家！）,312147,（美）伍绮诗 著，孙璐 译；读客文化 出品,江苏文艺出版社
148,东野圭吾：悲剧人偶,28216,（日）东野圭吾 著，新经典 出品,北京十月文艺出版社
149,小威向前冲,194783,[美]尼古拉斯・艾伦 著；漆仰平 译,贵州人民出版社
150,时间简史（插图本）（央视《朗读者》推荐）,408137,史蒂芬・霍金,湖南科技出版社
151,游戏力经典套装（全2册）[精选套装],159699,（美）科恩 著；李岩 伍娜 高晓静 译,中信出版社
152,你是人间四月天（民国女神林徽因诗歌、散文、小说代表作完整收录...,272961,林徽因　著,北京联合出版公司
153,狼图腾(修订版)（一部描绘、研究蒙古草原狼的“旷世奇书”）（1-...,251520,姜戎著,长江文艺出版社
154,复旦名师陈果：好的爱情（陈果的爱情哲学课，用哲学的方式告诉你...,102914,陈果　著；读客文化 出品,人民日报出版社
155,全球通史:从史前史到21世纪（第7版修订版上下册，当当独家赠送全...,235876,（美）斯塔夫里阿诺斯  著，吴象婴  等译,北京大学出版社
156,译文经典精装系列・月亮和六便士(看“一本好书”，在当当享阅读之...,173956,（英）毛姆 著，傅惟慈 译,上海译文出版社
157,小猪唏哩呼噜(注音版上、下),260022,孙幼军　著,春风文艺出版社
158,好妈妈胜过好老师（700万册纪念版）,228856,尹建莉,作家出版社
159,那不勒斯的萤火（被誉为欧美文坛近十年来的“灯塔”巨作，跟《追...,107701,马西米利亚诺・ 威尔吉利奥，白马时光 出品,百花洲文艺出版社
160,学会管自己幼儿版-歪歪兔自控力教育系列绘本,57940,歪歪兔关键期早教项目组著绘,海豚出版社
161,习近平的七年知青岁月              100册以上团购请联系电话010...,76263,中央党校采访实录编辑室,中共中央党校出版社
162,小学生必背古诗词75+80首,108324,说词解字辞书研究中心,华语教学出版社
163,把坏脾气收起来,42743,〔美〕卡罗尔・罗思，（美）拉申・凯里耶,北京科学技术出版社
